Peer_IP,Version,User_Agent,Start_Height,Services,Peer_Time,Validated_Time
162.217.231.179,170010,/MagicBean:2.1.2/,847285,5,1590697194,1590697194.677
91.152.122.170,170010,/MagicBean:2.1.2-1/,847286,5,1590696975,1590697204.187
54.201.120.41,170010,/MagicBean:2.1.2-3/,847286,5,1590697205,1590697206.070
139.99.123.157,170010,/MagicBean:2.1.2-3/,847286,5,1590697222,1590697222.974
18.222.216.71,170009,/MagicBean:2.1.1-1/,847286,5,1590697235,1590697235.308
188.113.118.31,170011,/MagicBean:3.0.0/,847286,5,1590697242,1590697242.535
107.191.35.66,170009,/MagicBean:2.1.1-1/,847286,5,1590697249,1590697249.999
198.187.30.208,170009,/MagicBean:2.1.1-1/,847287,5,1590697295,1590697293.884
116.202.100.25,170010,/MagicBean:2.1.2(bitcore)/,847272,5,1590697827,1590697827.887
94.156.174.100,170009,/MagicBean:2.1.1-1/,847302,5,1590698195,1590698195.068
18.191.160.176,170009,/MagicBean:2.1.1-1/,847307,5,1590698478,1590698478.493
47.100.175.51,170009,/MagicBean:2.1.1-1/,847307,5,1590698498,1590698498.326
82.64.95.124,170010,/MagicBean:2.1.2-3/,847311,5,1590699065,1590699065.232
3.22.172.166,170009,/MagicBean:2.1.1-1/,847311,5,1590699191,1590699191.949
78.27.139.13,170011,/MagicBean:3.0.0/,847311,5,1590699254,1590699254.699
195.154.199.185,170010,/MagicBean:2.1.2/,847316,5,1590699731,1590699731.139
5.133.65.82,170011,/MagicBean:3.0.0/,847317,5,1590699794,1590699794.710
78.46.43.59,170009,/MagicBean:2.1.1-1/,847322,5,1590700074,1590700074.946
164.132.122.137,170010,/MagicBean:2.1.2/,847325,5,1590700310,1590700310.593
213.239.201.46,170009,/MagicBean:2.1.1-1/,847326,5,1590700507,1590700507.590
139.59.128.41,170010,/MagicBean:2.1.2/,847332,5,1590700925,1590700925.236
88.99.37.232,170010,/MagicBean:2.1.2-3/,847345,5,1590701671,1590701671.314
159.65.218.179,170009,/MagicBean:2.1.1-1/,847346,5,1590702011,1590702011.485
138.201.245.237,170009,/MagicBean:2.1.1-1/,847346,5,1590702060,1590702060.743
107.20.83.62,170010,/MagicBean:2.1.2/,847350,5,1590702376,1590702376.158
118.24.175.14,170009,/MagicBean:2.1.1-1/,847359,5,1590702731,1590702731.501
52.194.192.91,170010,/MagicBean:2.1.2-3/,847366,5,1590703071,1590703071.407
80.242.124.21,170010,/MagicBean:2.1.2-3/,847369,5,1590703109,1590703109.707
45.77.207.1,170009,/MagicBean:2.1.1-1/,847373,5,1590703377,1590703377.132
116.203.188.195,170010,/MagicBean:2.1.2-3/,847376,5,1590703571,1590703571.271
119.23.67.66,170010,/MagicBean:2.1.2-1/,847376,5,1590703596,1590703597.103
95.217.155.210,170010,/MagicBean:2.1.2(bitcore)/,847378,5,1590703907,1590703907.721
18.188.77.116,170009,/MagicBean:2.1.1-1/,847379,5,1590704065,1590704065.701
35.173.127.89,170009,/MagicBean:2.1.1-1(bitcore)/,847391,5,1590705232,1590705232.825
47.94.139.217,170009,/MagicBean:2.1.1-1/,847394,5,1590705739,1590705739.892
178.62.222.98,170009,/MagicBean:2.1.1-1/,847396,5,1590705931,1590705931.724
93.104.213.142,170009,/MagicBean:2.1.1-1/,847416,5,1590707418,1590707418.768
149.28.197.86,170009,/MagicBean:2.1.1-1/,847417,5,1590707585,1590707585.479
18.182.25.219,170009,/MagicBean:2.1.1-1/,847424,5,1590708137,1590708137.419
3.15.223.4,170009,/MagicBean:2.1.1-1/,847431,5,1590708591,1590708591.255
71.88.207.47,170009,/MagicBean:2.1.1-1/,847435,5,1590709234,1590709234.280
149.56.135.165,170010,/MagicBean:2.1.2/,847456,5,1590710064,1590710064.463
209.141.47.197,170011,/MagicBean:3.0.0/,847463,5,1590710926,1590710926.924
108.51.198.189,170009,/MagicBean:2.1.1-1/,847464,5,1590711058,1590711058.625
47.90.248.68,170010,/MagicBean:2.1.2/,847473,5,1590711567,1590711567.567
34.67.71.42,170010,/MagicBean:2.1.2/,847475,5,1590711626,1590711626.281
34.90.231.182,170010,/MagicBean:2.1.2/,847493,5,1590712862,1590712863.042
139.196.121.177,170010,/MagicBean:2.1.2/,847506,5,1590713678,1590713678.687
193.42.110.30,170011,/MagicBean:3.0.0/,847509,5,1590713990,1590713990.880
46.165.221.209,170010,/MagicBean:2.1.2-3/,847513,5,1590714424,1590714424.910
167.99.86.56,170009,/MagicBean:2.1.1-1/,847516,5,1590714827,1590714827.680
34.66.191.95,170009,/MagicBean:2.1.1-1/,847532,5,1590715866,1590715866.717
84.213.4.115,170010,/MagicBean:2.1.2-3/,847544,5,1590716568,1590716568.118
81.2.80.52,170010,/MagicBean:2.1.2/,847545,5,1590716617,1590716617.894
47.92.134.60,170010,/MagicBean:2.1.2-1/,847545,5,1590716619,1590716619.759
120.79.42.119,170010,/MagicBean:2.1.2/,847548,5,1590716908,1590716909.051
88.99.37.232,170011,/MagicBean:3.0.0/,847552,5,1590717114,1590717114.573
163.172.222.30,170009,/MagicBean:2.1.1-1/,847552,5,1590717124,1590717124.213
95.216.46.155,170011,/MagicBean:3.0.0/,847558,5,1590717622,1590717622.473
35.238.100.203,170010,/MagicBean:2.1.2/,847560,5,1590718521,1590718522.026
144.217.253.98,170010,/MagicBean:2.1.2/,847561,5,1590718587,1590718587.993
47.198.214.50,170011,/MagicBean:3.0.0/,847566,5,1590719191,1590719191.759
162.14.4.106,170009,/MagicBean:2.1.1-1/,847593,5,1590720553,1590720553.908
3.19.66.87,170009,/MagicBean:2.1.1-1/,847594,5,1590720608,1590720609.015
54.38.81.80,170009,/MagicBean:2.1.1-1/,847616,5,1590722450,1590722450.947
118.244.204.223,170010,/MagicBean:2.1.2-1/,847634,5,1590723432,1590723432.466
173.255.198.125,170010,/MagicBean:2.1.2-3/,847674,5,1590726506,1590726506.982
35.221.131.27,170010,/MagicBean:2.1.2/,847674,5,1590726530,1590726530.250
104.195.200.141,170010,/MagicBean:2.1.2/,847681,5,1590727153,1590727153.526
5.79.123.194,170010,/MagicBean:2.1.2-3/,847686,5,1590727716,1590727716.443
192.99.230.93,170009,/MagicBean:2.1.1-1/,847688,5,1590727970,1590727970.422
35.221.131.27,170010,/MagicBean:2.1.2/,847691,5,1590728312,1590728312.092
172.105.73.103,170009,/MagicBean:2.1.1-1/,847695,5,1590728589,1590728589.224
185.165.170.7,170009,/MagicBean:2.1.1-1/,847698,5,1590729042,1590729042.827
74.213.232.247,170011,/MagicBean:3.0.0/,847709,5,1590729936,1590729939.974
167.114.34.3,170009,/MagicBean:2.1.1-1/,847728,5,1590731341,1590731341.499
34.87.37.112,170009,/MagicBean:2.1.1-1/,847733,5,1590731898,1590731898.176
138.68.51.208,170011,/MagicBean:3.0.0/,847782,5,1590735265,1590735265.371
167.172.43.123,170009,/MagicBean:2.1.0-1/,441,5,1590735549,1590735549.223
37.187.74.101,170010,/MagicBean:2.1.2/,847814,5,1590737452,1590737452.234
52.52.174.26,170010,/zqwMagicBean:2.1.2/,847822,5,1590737872,1590737872.993
3.18.104.231,170009,/MagicBean:2.1.1-1/,847836,5,1590738679,1590738679.235
18.220.47.120,170009,/MagicBean:2.1.1-1/,847843,5,1590739387,1590739387.951
47.254.130.139,170010,/MagicBean:2.1.2/,848058,5,1590755937,1590755937.242
148.72.155.96,170010,/MagicBean:2.1.2/,848059,5,1590756345,1590756345.655
78.46.43.59,170010,/MagicBean:2.1.2-1/,848059,5,1590756405,1590756405.788
34.66.191.95,170011,/MagicBean:3.0.0/,848061,5,1590756834,1590756834.358
35.198.119.137,170011,/MagicBean:3.0.0/,848062,5,1590756943,1590756943.754
13.231.145.68,170011,/MagicBean:3.0.0/,848063,5,1590757117,1590757117.543
47.252.87.61,170011,/MagicBean:3.0.0/,848096,5,1590758956,1590758956.646
34.87.37.112,170011,/MagicBean:3.0.0/,848097,5,1590759005,1590759005.166
35.246.238.163,170011,/MagicBean:3.0.0/,848100,5,1590759251,1590759251.262
162.14.4.106,170011,/MagicBean:3.0.0/,848101,5,1590759448,1590759448.513
52.194.192.91,170010,/MagicBean:2.1.2-3/,848107,5,1590759761,1590759761.843
47.94.139.217,170011,/MagicBean:3.0.0/,848111,5,1590759935,1590759935.595
138.197.174.176,170010,/MagicBean:2.1.2/,848119,5,1590760353,1590760268.727
80.84.57.38,170010,/MagicBean:2.1.2-3/,848123,5,1590760558,1590760558.943
213.239.201.46,170011,/MagicBean:3.0.0/,848148,5,1590762834,1590762834.869
94.156.174.100,170011,/MagicBean:3.0.0/,848148,5,1590762912,1590762912.392
66.70.180.144,170011,/MagicBean:3.0.0/,848170,5,1590764236,1590764236.743
62.210.91.14,170010,/zqwMagicBean:2.1.2/,848202,5,1590766407,1590766407.680
3.112.252.179,170010,/MagicBean:2.1.2-3/,848203,5,1590766613,1590766613.173
5.9.7.62,170011,/MagicBean:3.0.0/,848244,5,1590769632,1590769632.242
194.135.81.61,170011,/MagicBean:3.0.0/,848244,5,1590769721,1590769721.662
88.208.3.195,170011,/MagicBean:3.0.0/,848260,5,1590770949,1590770949.433
3.92.199.184,170011,/MagicBean:3.0.0(bitcore)/,848301,5,1590773226,1590773226.237
88.198.54.11,170010,/MagicBean:2.1.2-3/,848311,5,1590774180,1590774180.938
159.65.98.117,170011,/MagicBean:3.0.0/,848316,5,1590775196,1590775197.024
35.173.127.89,170011,/MagicBean:3.0.0(bitcore)/,848322,5,1590775817,1590775817.836
51.68.5.144,170010,/zqwMagicBean:2.1.2/,848341,5,1590777087,1590777117.589
